연번,구분,설립형태,유형,시도,시군구,시설명,주소,전화번호,팩스,관계행정기관
1,공공,국립,종합병원,서울,송파구,국립경찰병원,서울 송파구 송이로 123,02-3400-1114,02-3400-1573,행정자치부
2,공공,국립,병원,서울,강북구,국립재활원재활병원,서울 강북구 삼각산로 58 국립재활원,02-901-1700,02-902-3763,보건복지부
3,공공,국립,병원,서울,광진구,국립서울병원,서울 광진구 능동로 398,02-2204-0114,02-452-0162,보건복지부
4,공공,국립,병원,경기,양평군,국립교통재활병원,경기 양평군 양평읍 중앙로 260,031-580-5555,031-580-5410,국토교통부
5,공공,국립,병원,강원,춘천시,국립춘천병원,강원 춘천시 동산면 영서로 824,033-260-3000,033-243-6250,보건복지부
6,공공,국립,병원,충남,공주시,국립공주병원,충남 공주시 고분티로 623-21,041-850-5700,041-853-2095,보건복지부
7,공공,국립,병원,전남,고흥군,국립소록도병원,전남 고흥군 도양읍 소록해안길 65,061-840-0500,061-840-0517,보건복지부
8,공공,국립,병원,전남,나주시,국립나주병원,전남 나주시 산포면 세남로 1328-31번지,061-330-4114,061-330-4150,보건복지부
9,공공,국립,병원,전남,목포시,국립목포병원,전남 목포시 신지마을 1길 75(석현동 45),061-280-1114,061-283-2578,보건복지부
10,공공,국립,병원,경남,창녕군,국립부곡병원,경남 창녕군 부곡면 부곡로 145,055-536-6440,055-536-6444,보건복지부
11,공공,국립,병원,경남,창원시,국립마산병원,경남 창원시 마산합포구 가포로 215,055-246-1141,055-242-1135,보건복지부
12,공공,공립,병원,전북,진안군,진안군의료원,전북 진안군 진안읍 진무로 1145,063-430-7000,063-430-7002,보건복지부(진안군)
13,공공,시도립,종합병원,서울,동대문구,서울특별시동부병원,서울 동대문구 용신동 118-20,02-920-9114,02-920-9219,서울특별시
14,공공,시도립,종합병원,서울,동작구,서울특별시보라매병원,서울 동작구 보라매로5길 20,02-870-2114,02-831-0206,서울특별시
15,공공,시도립,병원,서울,서초구,서울특별시어린이병원,서울 서초구 헌릉로 260,02-570-8000,02-570-8324,서울특별시
16,공공,시도립,병원,서울,양천구,서울특별시서남병원,서울 양천구 신정이펜1로 20,02-6300-9000,02-6300-9136,서울특별시
17,공공,시도립,병원,서울,은평구,서울특별시서북병원,서울 은평구 갈현로7길 49,02-3156-3000,02-385-9393,서울특별시
18,공공,시도립,병원,서울,은평구,서울특별시은평병원,서울 은평구 백련산로 90,02-300-8114,02-300-8097,서울특별시
19,공공,시도립,병원,서울,중랑구,서울특별시북부병원,서울 중랑구 양원역로 38,02-2036-0200,02-2036-0294,서울특별시
20,공공,시도립,병원,대구,달성군,대구정신병원,대구 달성군 화원읍 명천로 58,053-630-3000,053-632-9233,대구광역시
21,공공,시도립,병원,인천,계양구,인천제2시립노인치매요양병원,인천 계양구 드림로 852,032-554-8300,032-554-8308,인천광역시
22,공공,시도립,병원,광주,광산구,광주시립정신병원,광주 광산구 삼도로 84-3(삼거동),062-949-5200,062-944-5225,광주광역시
23,공공,시도립,병원,광주,북구,호남권역재활병원,광주 북구 하서로 590(본촌동),062-613-9000,062-573-2206,광주광역시
24,공공,시도립,병원,대전,유성구,대전광역시립정신병원,대전 유성구 진잠옛로 135번길 87(학하동),042-823-4401~5,042-823-4405,대전광역시
25,공공,시도립,병원,경기,고양시,서울특별시고양정신병원,경기 고양시 덕양구 통일로 1102번길 46,031-969-0885,031-962-2325,서울특별시
