연번,구분,설립형태,유형,시도,시군구,시설명,주소,전화번호,팩스,관계행정기관
1,공공,-,보건소,서울,강남구,강남구보건소,서울 강남구 선릉로 668,02-3423-7200,02-3423-8800,-
2,공공,-,보건소,서울,강동구,강동구보건소,서울 강동구 성내로 45,02-3425-8500,02-3425-7200,-
3,공공,-,보건소,서울,강북구,강북구보건소,서울 강북구 한천로 897,02-901-7600,02-901-7609   ,-
4,공공,-,보건소,서울,강서구,강서구보건소,서울 강서구 공항대로 561,02-2600-5800,02-2620-0498,-
5,공공,-,보건소,서울,관악구,관악구보건소,서울 관악구 관악로 145,02-879-7010,02-879-7850,-
6,공공,-,보건소,서울,광진구,광진구보건소,서울 광진구 자양로 117,02-450-1900,02-453-2586,-
7,공공,-,보건소,서울,구로구,구로구보건소,서울 구로구 구로중앙로28길 66,02-860-2600,02-860-2651,-
8,공공,-,보건소,서울,금천구,금천구보건소,서울 금천구 시흥대로73길 70,02-2627-2423,02-896-6322 ,-
9,공공,-,보건소,서울,노원구,노원구보건소,서울 노원구 노해로 437(상계동),02-2116-3115,02-2116-4645,-
10,공공,-,보건소,서울,도봉구,도봉구보건소,서울 도봉구 방학로3길 117,02-2091-4600,02-2091-6361,-
11,공공,-,보건소,서울,동대문구,동대문구보건소,서울 동대문구 천호대로 145,02-2127-5400,02-3299-2614,-
12,공공,-,보건소,서울,동작구,동작구보건소,서울 동작구 장승배기로10길 42 동작구보건소 (상도동),02-820-1439,02-820-9496,-
13,공공,-,보건소,서울,마포구,마포구보건소,"서울 마포구 월드컵로 212  (성산동, 마포구청)",02-3153-9020,02-3153-9039 ,-
14,공공,-,보건소,서울,서대문구,서대문구보건소,서울 서대문구 연희로 242 서대문구청별관 (연희동),02-330-1801,02-330-1811 ,-
15,공공,-,보건소,서울,서초구,서초구보건소,서울 서초구 남부순환로 2584,02-2155-8000,02-2155-8189,-
16,공공,-,보건소,서울,성동구,성동구보건소,서울 성동구 마장로23길 10,02-2286-7011,02-2286-7027,-
17,공공,-,보건소,서울,성북구,성북구보건소,서울 성북구 화랑로 63,02-2241-1749,02-2241-6606,-
18,공공,-,보건소,서울,송파구,송파구보건소,서울 송파구 올림픽로 326,02-2147-3420,02-419-0644 ,-
19,공공,-,보건소,서울,양천구,양천구보건소,서울 양천구 목동서로 339,02-2620-4340,02-2620-4500,-
20,공공,-,보건소,서울,영등포구,영등포구보건소,서울 영등포구 당산로 123,02-2670-4894,02-2670-3002,-
21,공공,-,보건소,서울,용산구,용산구보건소,"서울 용산구 녹사평대로 150 용산보건소 (이태원동, 용산구종합행정타운)",02-2199-8020,02-2199-5810,-
22,공공,-,보건소,서울,은평구,은평구보건소,"서울 은평구 은평로 195 (녹번동, 은평구종합청사)",02-351-8152,02-351-5681,-
23,공공,-,보건소,서울,종로구,종로구보건소,"서울 종로구 자하문로19길 36  (옥인동, 청운효자동자치회관)",02-2148-3512,02-2148-5943,-
24,공공,-,보건소,서울,중구,중구보건소,서울 중구 다산로39길 16,02-3396-6317,02-3396-8901,-
25,공공,-,보건소,서울,중랑구,중랑구보건소,서울 중랑구 봉화산로 179,02-2094-0710,02-2094-0719 ,-
26,공공,-,보건소,부산,강서구,강서구보건소,부산 강서구 공항로811번길 10,051-970-3415,051-970-4799,-
27,공공,-,보건소,부산,금정구,금정구보건소,"부산 금정구 중앙대로 1777, 보건소 (부곡동, 금정구청)",051-519-5051,051-519-5059,-
28,공공,-,보건소,부산,기장군,기장군보건소,부산 기장군 기장읍 기장대로 560,051-709-4791,051-709-4799,-
29,공공,-,보건소,부산,남구,남구보건소,부산 남구 못골로 23,051-607-6460,051-607-6409,-
30,공공,-,보건소,부산,동구,동구보건소,부산 동구 구청로 1,051-440-6500,051-440-4799,-
31,공공,-,보건소,부산,동래구,동래구보건소,부산 동래구 명륜로187번길 56,051-555-4000,051-550-6719,-
32,공공,-,보건소,부산,부산진구,부산진구보건소,부산 부산진구 황령대로8번길 36  (범천동),051-645-4000,051-605-4799,-
33,공공,-,보건소,부산,북구,북구보건소,부산 북구 금곡대로 348,051-309-4500,051-309-7029,-
34,공공,-,보건소,부산,사상구,사상구보건소,부산 사상구 학감대로 242,051-310-4791,051-310-4799,-
35,공공,-,보건소,부산,사하구,사하구보건소,부산 사하구 하신번영로127번길 2  (신평동),051-220-5701,051-220-5709,-
36,공공,-,보건소,부산,서구,서구보건소,부산 서구 부용로 30,051-240-4851,051-240-4799,-
37,공공,-,보건소,부산,수영구,수영구보건소,부산 수영구 수영로 637-5,051-610-5601,051-610-4799,-
38,공공,-,보건소,부산,연제구,연제구보건소,부산 연제구 연제로 2   (연산동),051-665-4791,051-665-4849,-
39,공공,-,보건소,부산,영도구,영도구보건소,부산 영도구 태종로 423,051-416-4000,051-419-4909,-
40,공공,-,보건소,부산,중구,중구보건소,부산 중구 중구로 120,051-600-4741,051-600-4799,-
41,공공,-,보건소,부산,해운대구,해운대구보건소,부산 해운대구 양운로37번길 59,051-746-4000,051-749-4799,-
42,공공,-,보건소,대구,남구,남구보건소,대구 남구 영선길 34,053-664-3601,053-664-3619,-
43,공공,-,보건소,대구,달서구,달서구보건소,대구 달서구 와룡로49길 30  (죽전동),053-667-5611,053-667-5619,-
44,공공,-,보건소,대구,달성군,달성군보건소,대구 달성군 현풍면 비슬로130길 17,053-668-3101,053-668-3101,-
45,공공,-,보건소,대구,동구,동구보건소,대구 동구 동촌로 79(검사동),053-662-3201,053-662-3129,-
46,공공,-,보건소,대구,북구,북구보건소,대구 북구 성북로 49,053-665-3211,053-665-3219,-
47,공공,-,보건소,대구,서구,서구보건소,대구 서구 국채보상로 257,053-663-3111,053-663-3111,-
48,공공,-,보건소,대구,수성구,수성구보건소,대구 수성구 수성로 213,053-666-3111,053-666-3119,-
49,공공,-,보건소,대구,중구,중구보건소,대구 중구 태평로 45,053-661-3811,053-661-3129,-
50,공공,-,보건소,인천,강화군,강화군보건소,인천 강화군 강화읍 충렬사로 26-1,032-930-4013,032-930-3642,-
51,공공,-,보건소,인천,계양구,계양구보건소,인천 계양구 계산새로 88,032-430-7801,032-551-5772,-
52,공공,-,보건소,인천,남구,남구보건소,인천 남구 주안서로 25,032-880-5310,032-880-5399,-
53,공공,-,보건소,인천,남동구,남동구보건소,인천 남동구 소래로 633,032-464-4001,032-453-5079,-
54,공공,-,보건소,인천,동구,동구보건소,인천 동구 석수로 90,032-762-4001,032-770-5709,-
55,공공,-,보건소,인천,부평구,부평구보건소,인천 부평구 부흥로 291,032-509-8200,032-509-8290,-
56,공공,-,보건소,인천,서구,서구보건소,인천 서구 탁옥로 39,032-560-5000,032-560-2800,-
57,공공,-,보건소,인천,연수구,연수구보건소,인천 연수구 함박뫼로 13,032-749-8000,032-749-8009,-
58,공공,-,보건소,인천,옹진군,옹진군보건소,인천 남구 매소홀로 120,032-899-3120,032-899-3399(3339),-
59,공공,-,보건소,인천,중구,중구보건소,"인천 중구 참외전로72번길 21  (전동, 미추홀문화센터)",032-760-6010,032-760-6019,-
60,공공,-,보건소,광주,광산구,광산구보건소,광주 광산구 광산로29번길 15,062-960-8733,062-960-8858,-
61,공공,-,보건소,광주,남구,남구보건소,광주 남구 봉선로 1,062-607-4311,062-607-4305,-
62,공공,-,보건소,광주,동구,동구보건소,광주 동구 서남로 1 ,062-608-3261,062-608-2111,-
63,공공,-,보건소,광주,북구,북구보건소,광주 북구 우치로 65,062-410-8961,062-527-0474,-
64,공공,-,보건소,광주,서구,서구보건소,광주 서구 경열로 33,062-350-4700,062-369-4000,-
65,공공,-,보건소,대전,대덕구,대덕구보건소,대전 대덕구 석봉로38번길 55,042-608-5499,042-608-3851,-
66,공공,-,보건소,대전,동구,동구보건소,대전 동구 동구청로 147,042-251-6112,042-224-6170,-
67,공공,-,보건소,대전,서구,서구보건소,대전 서구 만년로 74  (만년동),042-611-5312,042-611-8630,-
68,공공,-,보건소,대전,유성구,유성구보건소,대전 유성구 유성대로730번길 51,042-611-5011,,-
69,공공,-,보건소,대전,중구,중구보건소,대전 중구 산성로 63,042-580-2700,042-580-2745,-
70,공공,-,보건소,울산,남구,남구보건소,울산 남구 삼산중로 132,052-226-2805,052-276-2549,-
71,공공,-,보건소,울산,동구,동구보건소,울산 동구 봉수로 155(화정동),052-209-4080,052-209-4079,-
72,공공,-,보건소,울산,북구,북구보건소,울산 북구 산업로 1018  (연암동),052-289-3450,052-241-8109,-
73,공공,-,보건소,울산,울주군,울주군보건소,울산 울주군 삼남면 서향교1길 67-12,052-229-8048,052-229-8049,-
74,공공,-,보건소,울산,중구,중구보건소,"울산 중구 외솔큰길 225, 중구보건소(남외동)",052-211-4000,052-290-4319,-
75,공공,-,보건소,세종,세종특별자치시,세종특별자치시보건소,세종특별자치시 조치원읍 건강길 16,044-301-2000,044-301-2119,-
76,공공,-,보건소,경기,가평군,가평군보건소,경기 가평군 가평읍 가화로 155-18,031-582-2488,031-580-2559,-
77,공공,-,보건소,경기,고양시,고양시덕양구보건소,경기 고양시 덕양구 원당로33번길 28,031-8075-4008,031-968-0217,-
78,공공,-,보건소,경기,고양시,고양시일산동구보건소,"경기 고양시 일산동구 중앙로 1228 1,2층(마두동, KT고양지사)",031-8075-4083,031-908-1291,-
79,공공,-,보건소,경기,고양시,고양시일산서구보건소,경기 고양시 일산서구 일중로 54,031-8075-4160,031-976-2040,-
80,공공,-,보건소,경기,과천시,과천시보건소,경기 과천시 관문로 69,02-2150-3800,02-2150-1540,-
81,공공,-,보건소,경기,광명시,광명시보건소,경기 광명시 오리로 613,02-2680-2862,02-2680-2867,-
82,공공,-,보건소,경기,광주시,광주시보건소,경기 광주시 파발로 194,031-760-2110,031-760-1426,-
83,공공,-,보건소,경기,구리시,구리시보건소,경기 구리시 건원대로34번길 84,031-550-8618,031-550-2560,-
84,공공,-,보건소,경기,군포시,군포시보건소,경기 군포시 군포로 221,031-461-5464,031-461-5466,-
85,공공,-,보건소,경기,김포시,김포시보건소,경기 김포시 사우중로 108,031-980-5011,031-980-5054,-
86,공공,-,보건소,경기,남양주시,남양주시보건소,"경기 남양주시 경춘로 1037, 보건소 (금곡동, 남양주시청제1청사)",031-590-2552,031-590-2559,-
87,공공,-,보건소,경기,동두천시,동두천시보건소,경기 동두천시 중앙로 167,031-860-3395,031-860-2564,-
88,공공,-,보건소,경기,부천시,부천시소사구보건소,경기 부천시 소사구 경인옛로 73,032-625-4355,032-625-4372,-
89,공공,-,보건소,경기,부천시,부천시오정구보건소,경기 부천시 오정구 성오로 172 ,032-625-4441,032-625-4459,-
90,공공,-,보건소,경기,부천시,부천시원미구보건소,경기 부천시 원미구 옥산로 10번길 16,032-625-4204,032-625-4209,-
91,공공,-,보건소,경기,성남시,성남시분당구보건소,경기 성남시 분당구 양현로 306,031-729-4004,031-729-3989,-
92,공공,-,보건소,경기,성남시,성남시수정구보건소,경기 성남시 수정구 희망로 526,031-729-3880,031-729-3839,-
93,공공,-,보건소,경기,성남시,성남시중원구보건소,경기 성남시 중원구 금상로 137 중원구보건소,031-729-3893,031-729-4899,-
94,공공,-,보건소,경기,수원시,수원시권선구보건소,경기 수원시 권선구 호매실로 22-50,031-228-6808,031-228-6809,-
95,공공,-,보건소,경기,수원시,수원시영통구보건소,경기 수원시 영통구 영통로 396,031-228-8716,031-228-8809,-
