"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11650-900000789","서초구","","재건축","공공지원자","강남원효성빌라 주택재건축정비사업 조합설립추진위원회","반포동 591-1","정비구역지정","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11260-900000170","중랑구","","재개발(주택정비형)","공공지원자","중화2재정비촉진구역 주택재개발정비사업","중화동 329-38","정비구역지정","일시중단","중화2재정비촉진구역 주택재개발정비사업","중랑구 중화동 329-38","","303713.00","제2종 일반주거지역 제3종일반주거지역","","103151.00","10754.00","14310.00","9350.00","","","3290.00","공동주택및부대복리시설","30.00","295.30","125","34","2","2317","985","680","652","부분임대326"
"11380-100001067","은평구","","재개발(도시정비형)","공공지원자","수색11재정비촉진구역","수색동 32-13","정비구역지정","일시중단","수색11재정비촉진구역","은평구 수색동 32-13","","","","","","","","","","","","","","","","","","","","","",""
"11110-100003003","종로구","","재개발(도시정비형)","공공지원자","돈의문2구역 도시환경정비사업 조합설립추진위원회","교남동 28","정비구역지정","일시중단","돈의문 2구역 도시환경정비구역","종로구 교남동 28번지","6801.40","56807.93","일반상업지역 제3종일반주거지역","뉴타운지구","5510.10","457.30","834.00","0.00","0.00","0.00","0.00","판매 및 업무시설","60.00","710.00","90","25","","","","","","판매및업무"
"11560-900000515","영등포구","","재개발(도시정비형)","공공지원자","31. 영등포1-15 재정비촉진구역","영등포동2가 34-4","정비구역지정","일시중단","영등포1-15 재정비촉진구역","영등포동2가 34-4","1785.40","","일반상업지역","-","1315.00","470.40","","","","","","판매 근린생활 업무 주거","60.00","7.60","50","14","2","26","9","10","7",""
"11560-900000503","영등포구","","재개발(도시정비형)","공공지원자","44. 문래동2?3가 도시환경정비사업","문래동2가 14-84","정비구역지정","일시중단","문래동2?3가 도시환경정비사업","문래동2가 14-84","89056.00","","준공업지역 일반상업지역","중심지 미관지구 일반 미관지구","55876.00","23946.00","5014.00","1540.00","","","2680.00","공동주택 전략시설 산업시설","","","","","","916","325","491","100",""
"11560-900000519","영등포구","","재개발(도시정비형)","공공지원자","35. 영등포1-19 재정비촉진구역","영등포동2가 333-","정비구역지정","일시중단","영등포1-19 재정비촉진구역","영등포동2가 333","1944.80","","일반상업지역","중심지미관지구","1281.00","464.80","199.00","","","","","판매 근린생활 업무 주거","61.00","4.60","40","10","4","","","","",""
"11560-900000524","영등포구","","재개발(도시정비형)","공공지원자","40. 영등포1-24 재정비촉진구역","영등포동2가 170-","정비구역지정","일시중단","영등포1-24 재정비촉진구역","영등포동2가 170","5264.80","","일반상업지역","중심지미관지구","3796.00","970.80","498.00","","","","","판매 근린생활 업무 주거","54.00","6.20","80","25","3","74","23","29","22",""
"11560-900000523","영등포구","","재개발(도시정비형)","공공지원자","39. 영등포1-23 재정비촉진구역","영등포동2가 213-","정비구역지정","일시중단","영등포1-23 재정비촉진구역","영등포동2가 213","11010.10","","준주거지역","-","7207.00","3803.10","","","","","","근린생활 업무 주거","43.00","3.90","60","18","2","141","43","56","42",""
"11560-900000525","영등포구","","재개발(도시정비형)","공공지원자","41. 영등포1-25 재정비촉진구역","영등포동2가 159-","정비구역지정","일시중단","영등포1-25 재정비촉진구역","영등포동2가 159","3451.40","","일반상업지역","중심지미관지구","2470.00","959.40","22.00","","","","","판매 근린생활 업무 주거","44.00","4.80","80","19","4","48","15","19","14",""
"11560-900000502","영등포구","","재개발(도시정비형)","공공지원자","43. 문래동1?2가 도시환경정비구역","문래동1가 70-1","정비구역지정","일시중단","문래동1?2가 도시환경정비구역","영등포구 문래동1가 70-1","96329.00","","준공업지역 일반상업지역 자연녹지지역","중심지 미관지구","53328.00","36879.00","2222.00","3900.00","","","","공동주택","","","","","","809","263","458","88",""
"11560-900000506","영등포구","","재개발(도시정비형)","공공지원자","21. 영등포1-5 재정비촉진구역","영등포동5가 46-4","정비구역지정","일시중단","영등포1-5 재정비촉진구역","영등포동5가 46-4","2805.20","","일반상업지역","중심지미관지구","1740.00","1065.20","","","","","","판매 근린생활 업무 주거","54.00","630.00","100","26","3","45","15","17","13",""
"11560-900000507","영등포구","","재개발(도시정비형)","공공지원자","22. 영등포1-6 재정비촉진구역","영등포동5가 64","정비구역지정","일시중단","영등포1-6 재정비촉진구역","영등포동5가 64","2272.00","","일반상업지역","-","1540.00","732.00","","","","","","판매 근린생활 업무 주거","55.00","780.00","100","27","4","49","16","19","14",""
"11560-900000508","영등포구","","재개발(도시정비형)","공공지원자","23. 영등포1-7 재정비촉진구역","영등포동5가 49-1","정비구역지정","일시중단","영등포1-7 재정비촉진구역","영등포동5가 49-1","3596.60","","일반상업지역","-","2415.00","1181.60","","","","","","근린생활 업무 주거","65.00","570.00","60","18","4","","75","40","",""
"11560-900000514","영등포구","","재개발(도시정비형)","공공지원자","30. 영등포1-14 재정비촉진구역","영등포동5가 34-16","정비구역지정","일시중단","영등포1-14 재정비촉진구역","영등포동5가 34-16","4307.00","","일반상업지역","-","2764.00","1543.00","","","","","","판매 근린생활 업무 주거","48.00","5.40","70","22","2","54","17","21","16",""
"11560-900000516","영등포구","","재개발(도시정비형)","공공지원자","32. 영등포1-16 재정비촉진구역","영등포동5가 34-46","정비구역지정","일시중단","영등포1-16 재정비촉진구역","영등포동5가 34-46","5395.10","","일반상업지역","-","3061.00","2334.10","","","","","","판매 근린생활 업무 주거","65.00","600.00","70","22","4","60","20","23","17",""
