"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3000000","3000000-102-2018-00002","20181219","","03","폐업","02","폐업","20200629","","","","","45.97","110290","서울특별시 종로구 인사동 75-4 세인빌딩","서울특별시 종로구 삼일대로 403-1 세인빌딩 지하1층 (인사동)","03164","키스(KISS)","20200629095528","U","2019-12-07 00:01:00.0","룸살롱","198811.965898086","452040.822179636","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-102-1980-06850","19800408","","03","폐업","02","폐업","20200629","","","","02 4675058","159.32","143840","서울특별시 광진구 군자동 355-12","서울특별시 광진구 광나루로 345 (군자동)","05003","하트","20200629093429","U","2019-12-07 00:01:00.0","룸살롱","205969.435150896","449587.738415801","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-2000-11622","20000623","","01","영업/정상","01","영업","","","","","02 4718816","97.98","134814","서울특별시 강동구 길동 413-14","서울특별시 강동구 진황도로43길 3 (길동)","05353","명월","20200708115123","U","2019-12-06 23:00:00.0","룸살롱","212135.833474135","448176.323180125","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2013-00002","20130724","","01","영업/정상","01","영업","","","","","02  838 0066","63.84","151903","서울특별시 관악구 신림동 1655","서울특별시 관악구 시흥대로 570 지하1층 (신림동)","08769","쿨","20200630141318","U","2019-12-07 00:02:00.0","룸살롱","191303.792863813","442376.389028958","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-102-2006-00013","20061124","","03","폐업","02","폐업","20200630","","","","","93.34","100842","서울특별시 중구 을지로1가 42 (지하1층)","서울특별시 중구 남대문로9길 39 (을지로1가(지하1층))","04523","시카고","20200630145304","U","2019-12-07 00:02:00.0","기타","198185.76830634","451601.063727086","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-102-2002-00002","20020218","","01","영업/정상","01","영업","","","","","02 3560833","129.73","122858","서울특별시 은평구 불광동 281-100 (지하1층)","서울특별시 은평구 통일로 724 (불광동(지하1층))","03368","미래노래바","20200630105826","U","2019-12-07 00:02:00.0","룸살롱","193784.756952473","456445.07450097","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-1991-06398","19910114","","03","폐업","02","폐업","20200630","","","","02 5210803","115.23","137860","서울특별시 서초구 서초동 1337-11","서울특별시 서초구 효령로79길 23 (서초동)","06627","이프(if)","20200630100700","U","2019-12-07 00:02:00.0","룸살롱","202524.386680312","443270.23284139","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-1990-06365","19900702","","03","폐업","02","폐업","20200630","","","","02 5863003","200.16","137858","서울특별시 서초구 서초동 1330-20 지층1호","서울특별시 서초구 강남대로53길 7 (서초동지층1호)","06626","뮤지컬","20200630100808","U","2019-12-07 00:02:00.0","룸살롱","202427.025843099","443561.16260823","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-1984-06350","19841201","","03","폐업","02","폐업","20200630","","","","02 5855661","446.00","137876","서울특별시 서초구 서초동 1596-1 (지하층?)","서울특별시 서초구 사임당로 14 (서초동(지하층?))","","로또","20200630100543","U","2019-12-07 00:02:00.0","룸살롱","200964.774450526","442786.895374402","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2019-00012","20191112","","01","영업/정상","01","영업","","","","","","418.59","135877","서울특별시 강남구 삼성동 143-26 에이스","서울특별시 강남구 테헤란로77길 11-3 에이스 지상 8910층 (삼성동)","06159","짱가","20200702094331","U","2019-12-07 00:04:00.0","룸살롱","204721.681839332","444976.616252344","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2000-07914","20000229","","01","영업/정상","01","영업","","","","","0226941622","86.25","157928","서울특별시 강서구 화곡동 1117-13 (지하 1층)","서울특별시 강서구 화곡로 316 지하 1층 (화곡동 6동)","07658","썸씽","20200702162343","U","2019-12-07 00:04:00.0","룸살롱","186691.930788115","449987.435448534","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-2020-00001","20200630","","01","영업/정상","01","영업","","","","","","108.47","134814","서울특별시 강동구 길동 414-1 석탄공회관","서울특별시 강동구 천호대로175길 58 석탄공회관 (길동)","05353","룰루","20200720110140","U","2019-12-06 22:02:00.0","룸살롱","212102.541821818","448338.998117904","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-102-2015-00001","20150616","","03","폐업","02","폐업","20200701","","","","","26.24","121815","서울특별시 마포구 도화동 544 지하1층 16호","서울특별시 마포구 큰우물로 76 (도화동 지하1층 16호)","04167","쎄라뷔","20200701091209","U","2019-12-07 00:03:00.0","기타","195153.205994094","448725.077064367","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2013-00006","20131122","","01","영업/정상","01","영업","","","","","02  888 4288","79.79","151892","서울특별시 관악구 신림동 1433-32","서울특별시 관악구 남부순환로 1599-4 지하1층 (신림동)","08759","(구)올리브","20200701142717","U","2019-12-07 00:03:00.0","룸살롱","193600.137347389","442484.563820437","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1986-04337","19860605","","01","영업/정상","01","영업","","","","","02 5653301","360.72","135911","서울특별시 강남구 역삼동 648-3","서울특별시 강남구 강남대로94길 54 지하1층 (역삼동)","06133","골드문","20200709052857","U","2019-12-06 23:01:00.0","룸살롱","202731.884061856","444237.128809836","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-102-1971-08443","19710819","","01","영업/정상","01","영업","","","","","0222177661","84.87","130854","서울특별시 동대문구 전농동 295-7 지하1층","서울특별시 동대문구 사가정로 111 지하1층 (전농동)","02547","에스","20210203125130","U","2020-12-02 00:05:00.0","스텐드바","204957.733960085","452803.961455312","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2000-22852","20001212","","01","영업/정상","01","영업","","","","","","94.46","135877","서울특별시 강남구 삼성동 144-21","서울특별시 강남구 테헤란로77길 6 (삼성동)","06158","노라조 노래바Q","20200722170601","U","2019-12-06 22:04:00.0","룸살롱","204786.182554712","444965.872486304","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-102-2008-00002","20080826","","01","영업/정상","01","영업","","","","","0222150705","235.76","130846","서울특별시 동대문구 장안동 464-1","서울특별시 동대문구 장한로 6 (장안동)","02645","더뱅크","20200703173229","U","2019-12-07 00:05:00.0","룸살롱","205711.263315761","451065.321633611","","","","","","","","","","","","","","","","","","",""
"3170000","3170000-102-1999-05865","19990612","","01","영업/정상","01","영업","","","","","02 8966652","89.19","153858","서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475)","서울특별시 금천구 시흥대로 212 (시흥동지하1층 (시흥대로 475))","08628","준노래","20200703094300","U","2019-12-07 00:05:00.0","룸살롱","191230.18305802","438962.560605397","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-2011-00006","20110303","","01","영업/정상","01","영업","","","","","02   4852858","98.40","134814","서울특별시 강동구 길동 458-3","서울특별시 강동구 진황도로 110 (길동)","05355","비너스","20210603112444","U","2020-12-06 00:05:00.0","룸살롱","212131.75626657","448108.629965194","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-1982-04306","19820610","","01","영업/정상","01","영업","","","","","02 5445188","430.00","135831","서울특별시 강남구 논현동 237-5번지","서울특별시 강남구 언주로 605 (논현동)","06109","메이드","20200604103346","U","2019-12-06 00:06:00.0","룸살롱","203219.16612821","445239.405224044","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-102-1974-08223","19740430","","03","폐업","02","폐업","20001207","","","","02 3566217","","110420","서울특별시 종로구 관수동 20-0번지 ","","","국일관","20001207000000","I","2018-08-31 23:59:59.0","카바레","199045.043602772    ","451939.677286976    ","카바레","3","3","기타","갑","상수도전용","","","","","","","","","N","1146.06","","",""
"3160000","3160000-102-2000-08222","20000214","","03","폐업","02","폐업","20200605","","","","0226150584","132.20","152892","서울특별시 구로구 오류동 33-40번지","서울특별시 구로구 경인로 234 (오류동)","08271","호박노래크럽주점","20200605153645","U","2019-12-06 00:07:00.0","룸살롱","186366.484993847","443886.072158513","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2019-00002","20190712","","01","영업/정상","01","영업","","","","","","1031.87","138844","서울특별시 송파구 석촌동 158번지 호텔 레이크 지하2층","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하2층 (석촌동)","05610","나인","20200608153403","U","2019-12-05 23:00:00.0","룸살롱","208851.639893799","444965.4232772","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2002-17711","20021212","","01","영업/정상","01","영업","","","","","02  413 4783","1049.85","138844","서울특별시 송파구 석촌동 158번지 호텔 레이크 지하3층","서울특별시 송파구 석촌호수로 216 호텔 레이크 지하3층 (석촌동)","05610","퍼스트","20200608153846","U","2019-12-05 23:00:00.0","룸살롱","208851.639893799","444965.4232772","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2000-22662","20001103","","01","영업/정상","01","영업","","","","","02 5584110","210.55","135915","서울특별시 강남구 역삼동 678-32번지","서울특별시 강남구 테헤란로29길 5 (역삼동)","06141","플렉스","20200608150540","U","2019-12-05 23:00:00.0","룸살롱","203354.571059684","444416.486475865","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-102-2020-00002","20200709","","01","영업/정상","01","영업","","","","","","83.70","100869","서울특별시 중구 황학동 371-38 신라여관","서울특별시 중구 퇴계로83길 12-16 2층 (황학동)","04576","구찌","20200709155745","I","2019-12-06 23:01:00.0","룸살롱","201596.080773913","451564.777814531","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-102-2003-00006","20030519","","03","폐업","02","폐업","20040504","","","","","","110061","서울특별시 종로구 신문로1가 29번지 ","","","돈텔마마","20040130000000","I","2018-08-31 23:59:59.0","룸살롱","197665.05263825     ","452021.093273566    ","룸살롱","0","0","","","","","","","","","","","","N","88.36","","",""
