연도,학교급,학교세부유형,고등학교유형,시도,행정구,교육지원청,학교명,본분교,학교상태,설립,남녀공학,우편번호,도로명주소,연락처,팩스번호,홈페이지
2020,유치원,유치원,,서울,종로구,중부,린덴바움유치원,본교,기존(원)교,사립,,030-25 ,서울특별시 종로구 통일로12길 51 . 린덴바움유치원 (무악동),02-730-6207,02-730-6208,https://xn--6n1b61jr3bixr.kr/
2020,유치원,유치원,,서울,종로구,중부,배화여자대학교 부속 배화유치원,본교,기존(원)교,사립,,030-39 ,서울특별시 종로구 필운대로1길 34 (필운동),02-737-1433,02-737-1434,http://www.baewha.ac.kr/mbs/child
2020,유치원,유치원,,서울,종로구,중부,봄샘유치원,본교,기존(원)교,사립,,031-24 ,서울특별시 종로구 율곡로 264 (종로6가),02-764-3210,02-762-7396,http://bomsaem.kidis.co.kr
2020,유치원,유치원,,서울,종로구,중부,상명사대부속유치원,본교,기존(원)교,사립,,030-15 ,서울특별시 종로구 홍지문2길 1 (홍지동),02-396-1602,02-394-6577,http://www.smu-kindergarten.com
2020,유치원,유치원,,서울,종로구,중부,서울명신초등학교병설유치원,본교,기존(원)교,공립,,030-93 ,서울특별시 종로구 낙산길 250 (창신동. 서울명신초등학교),02-744-4633,02-747-0751,http://myungshin.es.kr/
2020,유치원,유치원,,서울,종로구,중부,서울재동초등학교병설유치원,본교,기존(원)교,공립,,030-56 ,서울특별시 종로구 북촌로4길 7 (가회동.서울재동초등학교),02-764-2830,02-3672-2831,http://www.jaedong.kg.kr
2020,유치원,유치원,,서울,종로구,중부,서울창신초등학교병설유치원,본교,기존(원)교,공립,,031-03 ,서울특별시 종로구 지봉로 73 서울창신초등학교병설유치원(창신동),02-763-8812,02-763-8813,http://chang-shin.sen.es.kr/index.do
2020,유치원,유치원,,서울,종로구,중부,서울청운초등학교병설유치원,본교,기존(원)교,공립,,030-32 ,서울특별시 종로구 자하문로 105 (청운동) 병설유치원,02-739-6940,02-739-6939,http://www.chungwoon.es.kr
2020,유치원,유치원,,서울,종로구,중부,서울혜화초등학교병설유치원,본교,기존(원)교,공립,,030-67 ,서울특별시 종로구 혜화로 32 (혜화동. 혜화초등학교),02-763-0124,070-4015-0123,http://www.혜화병설유치원.kr/
2020,유치원,유치원,,서울,종로구,중부,세검정유치원,본교,기존(원)교,사립,,030-17 ,서울특별시 종로구 자하문로 310 (홍지동),02-395-2544,02-395-2547,http://www.sgjkids.com
2020,유치원,유치원,,서울,종로구,중부,세종유치원,본교,기존(원)교,사립,,031-69 ,서울특별시 종로구 사직로8길 9 (필운동. 세종로천주교회),02-733-1475,02-733-1488,http://www.sejonglo.org
2020,유치원,유치원,,서울,종로구,중부,옥인유치원,본교,기존(원)교,사립,,030-35 ,서울특별시 종로구 자하문로 69 (옥인동),02-735-3984,02-739-0087,http://okin.kidis.co.kr
2020,유치원,유치원,,서울,종로구,중부,운현유치원,본교,기존(원)교,사립,,031-31 ,서울특별시 종로구 삼일대로 460 운현유치원,02-742-7790,02-766-4146,http://unhyunms.co.kr
2020,유치원,유치원,,서울,종로구,중부,청룡유치원,본교,기존(원)교,사립,,031-08 ,서울특별시 종로구 동망산길 62 (숭인동. 청룡유치원),02-742-7782,02-762-7782,
2020,유치원,유치원,,서울,종로구,중부,하나유치원,본교,기존(원)교,사립,,030-03 ,서울특별시 종로구 평창길 317 (평창동.하나유치원),02-394-1152,02-394-1154,http://
2020,유치원,유치원,,서울,종로구,중부,한아름유치원,본교,기존(원)교,사립,,030-67 ,서울특별시 종로구 혜화로6길 80 (혜화동),02-747-2449,02-765-1024,http://hanarum.kidis.co.kr
2020,유치원,유치원,,서울,종로구,중부,혜화유치원,본교,기존(원)교,사립,,030-83 ,서울특별시 종로구 창경궁로 296 (혜화동),02-743-7021,02-747-3867,http://www.hyehwa.kg.kr
2020,유치원,유치원,,서울,중구,중부,가명유치원,본교,기존(원)교,사립,,045-06 ,서울특별시 중구 청파로 447-1 (중림동),02-362-7593,02-392-7593,http://cafe.naver.com/gamyungkids
2020,유치원,유치원,,서울,중구,중부,근화유치원,본교,기존(원)교,사립,,046-09 ,서울특별시 중구 동호로20길 24 . 3층 (신당동),02-2237-1684,02-2237-7137,http://guenhwa.com
2020,유치원,유치원,,서울,중구,중부,리라유치원,본교,기존(원)교,사립,,046-28 ,서울특별시 중구 소파로2길 7 (예장동),02-753-7751,02-755-2677,http://www.lilakinder.kr
2020,유치원,유치원,,서울,중구,중부,서울광희초등학교병설유치원,본교,기존(원)교,공립,,045-69 ,서울특별시 중구 다산로 269 (신당동),070-5090-7180,070-5090-7171,http://www.gwanghee.es.kr
2020,유치원,유치원,,서울,중구,중부,서울덕수초등학교병설유치원,본교,기존(원)교,공립,,045-19 ,서울특별시 중구 덕수궁길 140 (정동),02-720-7275,02-720-7276,http://deoksoo.sen.es.kr
2020,유치원,유치원,,서울,중구,중부,서울장충유치원,본교,기존(원)교,공립,,046-09 ,서울특별시 중구 청구로17길 40 . 서울장충유치원 (신당동. 장충초등학교),02-2234-6092,02-2236-6092,http://www.서울장충유치원.kr/
2020,유치원,유치원,,서울,중구,중부,서울충무초등학교병설유치원,본교,기존(원)교,공립,,046-18 ,서울특별시 중구 퇴계로50길 13 . 병설유치원 (장충동2가. 충무초등학교),02-2265-4840,02-2279-0950,http://seoulchungmu.sen.es.kr/
