역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
3122,부평삼거리,S2801,인천지하철 1호선,Bupyeongsamgeori,富平三거리,일반역,-,-,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,032-516-3122,2020-11-30,B551894,인천교통공사
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2020-11-30,B551894,인천교통공사
3124,인천시청,S2801,인천지하철 1호선,Incheon City Hall,仁川市廳,일반역,-,-,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,032-441-3124,2020-11-30,B551894,인천교통공사
3125,예술회관,S2801,인천지하철 1호선,Arts Center,藝術會館,일반역,-,-,37.449334,126.700991,인천교통공사,인천광역시 남동구 예술로 172,032-441-3125,2020-11-30,B551894,인천교통공사
3126,인천터미널,S2801,인천지하철 1호선,Incheon Bus Terminal,仁川터미널,일반역,-,-,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,032-441-3126,2020-11-30,B551894,인천교통공사
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2020-11-30,B551894,인천교통공사
3128,선학,S2801,인천지하철 1호선,Seonhak,仙鶴,일반역,-,-,37.426985,126.698872,인천교통공사,인천광역시 연수구 경원대로 480,032-821-3128,2020-11-30,B551894,인천교통공사
3129,신연수,S2801,인천지하철 1호선,Sinyeonsu,新延壽,일반역,-,-,37.418032,126.693853,인천교통공사,인천광역시 연수구 경원대로 368,032-813-3129,2020-11-30,B551894,인천교통공사
3130,원인재,S2801,인천지하철 1호선,Woninjae,源仁齋,환승역,I2801+I2802,수인선,37.412364,126.687893,인천교통공사,인천광역시 연수구 경원대로 285,032-816-3130,2020-11-30,B551894,인천교통공사
3131,동춘,S2801,인천지하철 1호선,Dongchun,東春,일반역,-,-,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,032-814-5702,2020-11-30,B551894,인천교통공사
3132,동막,S2801,인천지하철 1호선,Dongmak,東幕,일반역,-,-,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,032-816-5584,2020-11-30,B551894,인천교통공사
3133,캠퍼스타운,S2801,인천지하철 1호선,Campus Town,-,일반역,-,-,37.388209,126.661985,인천교통공사,인천광역시 연수구 송도국제대로 66,032-451-3183,2020-11-30,B551894,인천교통공사
3134,테크노파크,S2801,인천지하철 1호선,Technopark,-,일반역,-,-,37.382311,126.656355,인천교통공사,인천광역시 연수구 송도국제대로 150,032-451-3184,2020-11-30,B551894,인천교통공사
3113,임학,S2801,인천지하철 1호선,Imhak,林鶴,일반역,-,-,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,032-541-3113,2020-11-30,B551894,인천교통공사
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2020-11-30,B551894,인천교통공사
